2022-01-24 22:32:15.660[1643059935660] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.71000000
2022-01-24 22:32:15.660[1643059935660] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:15.660[1643059935660] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:15.668[1643059935668] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36951.20000000
2022-01-24 22:32:15.668[1643059935668] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36951.20000000
2022-01-24 22:32:15.668[1643059935668] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:15.668[1643059935668] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:15.681[1643059935681] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36949.99000000
2022-01-24 22:32:15.682[1643059935682] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36951.20000000
2022-01-24 22:32:15.682[1643059935682] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00003275
2022-01-24 22:32:15.682[1643059935682] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:16.634[1643059936634] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36949.99000000
2022-01-24 22:32:16.635[1643059936635] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36951.20000000
2022-01-24 22:32:16.635[1643059936635] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00003275
2022-01-24 22:32:16.635[1643059936635] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:16.636[1643059936636] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36951.20000000
2022-01-24 22:32:16.636[1643059936636] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36951.20000000
2022-01-24 22:32:16.636[1643059936636] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:16.636[1643059936636] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:17.637[1643059937637] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36951.20000000
2022-01-24 22:32:17.638[1643059937638] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36951.20000000
2022-01-24 22:32:17.638[1643059937638] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:17.638[1643059937638] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:17.639[1643059937639] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36951.20000000
2022-01-24 22:32:17.639[1643059937639] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36951.20000000
2022-01-24 22:32:17.639[1643059937639] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:17.639[1643059937639] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:18.629[1643059938629] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36964.99000000
2022-01-24 22:32:18.629[1643059938629] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36964.99000000
2022-01-24 22:32:18.629[1643059938629] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:18.629[1643059938629] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:18.653[1643059938653] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36959.96000000
2022-01-24 22:32:18.654[1643059938654] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36964.99000000
2022-01-24 22:32:18.654[1643059938654] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00013607
2022-01-24 22:32:18.654[1643059938654] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:18.727[1643059938727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36959.96000000
2022-01-24 22:32:18.727[1643059938727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36964.99000000
2022-01-24 22:32:18.727[1643059938727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00013607
2022-01-24 22:32:18.727[1643059938727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:36.659[1643059956659] | INFO  | main       | c.l.b.BinanceTraderBotApplication    - Starting BinanceTraderBotApplication using Java 11.0.6 on Hermes with PID 82872 (/Users/luczsoma/Projects/binance-trader-bot/target/classes started by luczsoma in /Users/luczsoma/Projects/binance-trader-bot)
2022-01-24 22:32:36.661[1643059956661] | DEBUG | main       | c.l.b.BinanceTraderBotApplication    - Running with Spring Boot v2.6.2, Spring v5.3.14
2022-01-24 22:32:36.662[1643059956662] | INFO  | main       | c.l.b.BinanceTraderBotApplication    - No active profile set, falling back to default profiles: default
2022-01-24 22:32:39.380[1643059959380] | WARN  | main       | o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-01-24 22:32:39.446[1643059959446] | INFO  | main       | c.l.b.BinanceTraderBotApplication    - Started BinanceTraderBotApplication in 3.128 seconds (JVM running for 3.59)
2022-01-24 22:32:41.613[1643059961613] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36924.50000000
2022-01-24 22:32:41.617[1643059961617] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36924.50000000
2022-01-24 22:32:41.617[1643059961617] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreaseRatio = 0.00000000
2022-01-24 22:32:41.617[1643059961617] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:41.625[1643059961625] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36928.12000000
2022-01-24 22:32:41.625[1643059961625] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36928.12000000
2022-01-24 22:32:41.625[1643059961625] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreaseRatio = 0.00000000
2022-01-24 22:32:41.625[1643059961625] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:42.526[1643059962526] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36928.12000000
2022-01-24 22:32:42.527[1643059962527] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36928.12000000
2022-01-24 22:32:42.527[1643059962527] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreaseRatio = 0.00000000
2022-01-24 22:32:42.527[1643059962527] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:42.606[1643059962606] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36928.12000000
2022-01-24 22:32:42.607[1643059962607] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36928.12000000
2022-01-24 22:32:42.607[1643059962607] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreaseRatio = 0.00000000
2022-01-24 22:32:42.607[1643059962607] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:42.615[1643059962615] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36928.12000000
